iter	Passed	Remaining
0	1	561
1	3	504
2	4	478
3	6	472
4	7	460
5	9	450
6	10	449
7	12	445
8	13	444
9	15	439
10	16	438
11	18	436
12	19	438
13	21	438
14	22	433
15	24	431
16	25	431
17	27	430
18	28	428
19	30	424
20	31	421
21	33	419
22	34	416
23	36	416
24	37	414
25	38	410
26	40	407
27	41	405
28	43	403
29	44	403
30	46	401
31	47	401
32	49	400
33	50	398
34	52	397
35	54	396
36	55	395
37	57	393
38	58	392
39	60	391
40	61	390
41	63	387
42	64	386
43	66	384
44	67	382
45	68	380
46	70	379
47	72	378
48	73	376
49	74	374
50	76	374
51	78	374
52	80	374
53	81	373
54	83	372
55	85	371
56	86	369
57	88	368
58	89	366
59	91	364
60	92	362
61	94	361
62	95	360
63	97	358
64	98	357
65	100	355
66	102	355
67	103	353
68	105	351
69	106	350
70	107	347
71	109	345
72	110	344
73	112	343
74	113	341
75	115	339
76	116	337
77	118	336
78	119	334
79	120	332
80	122	330
81	123	329
82	125	326
83	126	325
84	128	324
85	129	322
86	131	321
87	132	319
88	134	317
89	135	316
90	137	315
91	138	313
92	140	311
93	141	310
94	143	309
95	144	307
96	146	306
97	148	305
98	149	303
99	151	302
100	153	301
101	154	299
102	155	298
103	157	296
104	158	294
105	160	293
106	161	292
107	163	290
108	164	288
109	166	286
110	167	285
111	168	283
112	170	281
113	171	280
114	172	278
115	174	276
116	175	275
117	177	273
118	178	271
119	180	270
120	181	268
121	182	266
122	183	264
123	185	262
124	186	261
125	188	260
126	189	258
127	191	257
128	192	255
129	194	254
130	196	252
131	197	251
132	198	249
133	200	248
134	201	246
135	203	244
136	204	243
137	206	241
138	207	240
139	209	239
140	210	237
141	212	236
142	213	234
143	214	232
144	216	231
145	217	229
146	218	227
147	220	226
148	221	224
149	223	223
150	224	221
151	225	219
152	226	217
153	228	216
154	229	214
155	230	213
156	231	211
157	233	209
158	234	207
159	235	206
160	237	204
161	238	203
162	240	202
163	241	200
164	242	198
165	244	197
166	245	195
167	247	194
168	248	192
169	249	190
170	251	189
171	252	188
172	253	186
173	255	184
174	256	183
175	258	181
176	259	180
177	261	179
178	262	177
179	264	176
180	265	174
181	266	172
182	268	171
183	269	169
184	271	168
185	272	167
186	273	165
187	275	164
188	277	162
189	278	161
190	279	159
191	281	158
192	282	156
193	284	155
194	285	153
195	286	152
196	287	150
197	289	148
198	290	147
199	291	145
200	293	144
201	294	142
202	295	141
203	297	139
204	298	138
205	299	136
206	301	135
207	303	134
208	304	132
209	305	131
210	307	129
211	308	128
212	309	126
213	311	125
214	312	123
215	314	122
216	315	120
217	317	119
218	318	117
219	319	116
220	321	114
221	322	113
222	324	111
223	325	110
224	326	108
225	328	107
226	329	106
227	331	104
228	332	103
229	334	101
230	335	100
231	336	98
232	338	97
233	339	95
234	340	94
235	342	92
236	343	91
237	344	89
238	346	88
239	347	86
240	348	85
241	350	83
242	351	82
243	352	80
244	354	79
245	355	78
246	356	76
247	358	75
248	359	73
249	360	72
250	361	70
251	363	69
252	364	67
253	365	66
254	367	64
255	369	63
256	370	62
257	372	60
258	373	59
259	375	57
260	376	56
261	377	54
262	378	53
263	380	51
264	381	50
265	383	49
266	385	47
267	386	46
268	388	44
269	389	43
270	390	41
271	391	40
272	393	38
273	394	37
274	395	35
275	397	34
276	399	33
277	400	31
278	401	30
279	403	28
280	404	27
281	405	25
282	406	24
283	408	22
284	409	21
285	410	20
286	412	18
287	413	17
288	415	15
289	416	14
290	417	12
291	419	11
292	420	10
293	421	8
294	422	7
295	424	5
296	425	4
297	426	2
298	428	1
299	429	0
